Version, Total, Open, Closed, Commits
12.4, 0, 0, 0, 2473
12.3, 0, 0, 0, 1689
12.2, 0, 0, 0, 1972
12.1, 0, 0, 0, 2101
12.0, 0, 0, 0, 302
11.6, 0, 0, 0, 215
11.5, 0, 0, 0, 74
11.4, 0, 0, 0, 40
11.3, 0, 0, 0, 28
11.2, 0, 0, 0, 0
10.4, 0, 0, 0, 0
