Version, Total, Open, Closed
13, 167, 108, 59
12, 666, 361, 305
11, 661, 217, 444
10, 68, 18, 50
9, 23, 5, 18
8, 3, 1, 2
7, 1, 0, 1
4, 1, 0, 1
3, 1, 0, 1
1, 1, 0, 1
0, 1, 1, 0
No Version, 582, 200, 382
